root - 15-Dec-19 13:17:41 - INFO - XML file being interpreted is C:/projects/oboredo/OBO_XML_72/sessionsPapers\16800226.xml
root - 15-Dec-19 13:17:46 - INFO - XML file being interpreted is C:/projects/oboredo/OBO_XML_72/sessionsPapers\16800421.xml
root - 15-Dec-19 13:17:50 - INFO - XML file being interpreted is C:/projects/oboredo/OBO_XML_72/sessionsPapers\16800526.xml
root - 15-Dec-19 13:17:52 - INFO - XML file being interpreted is C:/projects/oboredo/OBO_XML_72/sessionsPapers\16800707.xml
root - 15-Dec-19 13:17:56 - INFO - XML file being interpreted is C:/projects/oboredo/OBO_XML_72/sessionsPapers\16800910.xml
root - 15-Dec-19 13:18:00 - INFO - XML file being interpreted is C:/projects/oboredo/OBO_XML_72/sessionsPapers\16800910A.xml
root - 15-Dec-19 13:18:02 - INFO - XML file being interpreted is C:/projects/oboredo/OBO_XML_72/sessionsPapers\16801013.xml
root - 15-Dec-19 13:18:05 - INFO - XML file being interpreted is C:/projects/oboredo/OBO_XML_72/sessionsPapers\16801014.xml
root - 15-Dec-19 13:18:06 - INFO - XML file being interpreted is C:/projects/oboredo/OBO_XML_72/sessionsPapers\16801208.xml
root - 15-Dec-19 13:18:09 - INFO - XML file being interpreted is C:/projects/oboredo/OBO_XML_72/sessionsPapers\16810117.xml
root - 15-Dec-19 13:18:13 - INFO - XML file being interpreted is C:/projects/oboredo/OBO_XML_72/sessionsPapers\16810117A.xml
root - 15-Dec-19 13:18:15 - INFO - XML file being interpreted is C:/projects/oboredo/OBO_XML_72/sessionsPapers\16810228.xml
root - 15-Dec-19 13:18:20 - INFO - XML file being interpreted is C:/projects/oboredo/OBO_XML_72/sessionsPapers\16810413.xml
root - 15-Dec-19 13:18:23 - INFO - XML file being interpreted is C:/projects/oboredo/OBO_XML_72/sessionsPapers\16810413A.xml
root - 15-Dec-19 13:18:25 - INFO - XML file being interpreted is C:/projects/oboredo/OBO_XML_72/sessionsPapers\16810520.xml
root - 15-Dec-19 13:18:29 - INFO - XML file being interpreted is C:/projects/oboredo/OBO_XML_72/sessionsPapers\16810706.xml
root - 15-Dec-19 13:18:31 - INFO - XML file being interpreted is C:/projects/oboredo/OBO_XML_72/sessionsPapers\16810706A.xml
root - 15-Dec-19 13:18:34 - INFO - XML file being interpreted is C:/projects/oboredo/OBO_XML_72/sessionsPapers\16810831.xml
root - 15-Dec-19 13:18:38 - INFO - XML file being interpreted is C:/projects/oboredo/OBO_XML_72/sessionsPapers\16811017.xml
root - 15-Dec-19 13:18:41 - INFO - XML file being interpreted is C:/projects/oboredo/OBO_XML_72/sessionsPapers\16811017A.xml
root - 15-Dec-19 13:18:44 - INFO - XML file being interpreted is C:/projects/oboredo/OBO_XML_72/sessionsPapers\16811124.xml
root - 15-Dec-19 13:18:44 - INFO - XML file being interpreted is C:/projects/oboredo/OBO_XML_72/sessionsPapers\16811207.xml
root - 15-Dec-19 13:18:49 - INFO - XML file being interpreted is C:/projects/oboredo/OBO_XML_72/sessionsPapers\16820116.xml
root - 15-Dec-19 13:18:53 - INFO - XML file being interpreted is C:/projects/oboredo/OBO_XML_72/sessionsPapers\16820116A.xml
root - 15-Dec-19 13:18:55 - INFO - XML file being interpreted is C:/projects/oboredo/OBO_XML_72/sessionsPapers\16820223.xml
root - 15-Dec-19 13:18:58 - INFO - XML file being interpreted is C:/projects/oboredo/OBO_XML_72/sessionsPapers\16820224.xml
root - 15-Dec-19 13:19:02 - INFO - XML file being interpreted is C:/projects/oboredo/OBO_XML_72/sessionsPapers\16820426.xml
root - 15-Dec-19 13:19:07 - INFO - XML file being interpreted is C:/projects/oboredo/OBO_XML_72/sessionsPapers\16820601.xml
root - 15-Dec-19 13:19:10 - INFO - XML file being interpreted is C:/projects/oboredo/OBO_XML_72/sessionsPapers\16820601A.xml
root - 15-Dec-19 13:19:14 - INFO - XML file being interpreted is C:/projects/oboredo/OBO_XML_72/sessionsPapers\16820712.xml
root - 15-Dec-19 13:19:18 - INFO - XML file being interpreted is C:/projects/oboredo/OBO_XML_72/sessionsPapers\16820906.xml
root - 15-Dec-19 13:19:21 - INFO - XML file being interpreted is C:/projects/oboredo/OBO_XML_72/sessionsPapers\16820906A.xml
root - 15-Dec-19 13:19:25 - INFO - XML file being interpreted is C:/projects/oboredo/OBO_XML_72/sessionsPapers\16821206.xml
root - 15-Dec-19 13:19:34 - INFO - XML file being interpreted is C:/projects/oboredo/OBO_XML_72/sessionsPapers\16830117.xml
root - 15-Dec-19 13:19:43 - INFO - XML file being interpreted is C:/projects/oboredo/OBO_XML_72/sessionsPapers\16830223.xml
root - 15-Dec-19 13:19:48 - INFO - XML file being interpreted is C:/projects/oboredo/OBO_XML_72/sessionsPapers\16830418.xml
root - 15-Dec-19 13:19:52 - INFO - XML file being interpreted is C:/projects/oboredo/OBO_XML_72/sessionsPapers\16830418A.xml
root - 15-Dec-19 13:19:56 - INFO - XML file being interpreted is C:/projects/oboredo/OBO_XML_72/sessionsPapers\16830524.xml
root - 15-Dec-19 13:20:00 - INFO - XML file being interpreted is C:/projects/oboredo/OBO_XML_72/sessionsPapers\16830524A.xml
root - 15-Dec-19 13:20:01 - INFO - XML file being interpreted is C:/projects/oboredo/OBO_XML_72/sessionsPapers\16830712.xml
root - 15-Dec-19 13:20:07 - INFO - XML file being interpreted is C:/projects/oboredo/OBO_XML_72/sessionsPapers\16830829.xml
root - 15-Dec-19 13:20:12 - INFO - XML file being interpreted is C:/projects/oboredo/OBO_XML_72/sessionsPapers\16831010.xml
root - 15-Dec-19 13:20:14 - INFO - XML file being interpreted is C:/projects/oboredo/OBO_XML_72/sessionsPapers\16831010A.xml
root - 15-Dec-19 13:20:22 - INFO - XML file being interpreted is C:/projects/oboredo/OBO_XML_72/sessionsPapers\16831212.xml
root - 15-Dec-19 13:20:31 - INFO - XML file being interpreted is C:/projects/oboredo/OBO_XML_72/sessionsPapers\16840116.xml
root - 15-Dec-19 13:20:42 - INFO - XML file being interpreted is C:/projects/oboredo/OBO_XML_72/sessionsPapers\16840227.xml
root - 15-Dec-19 13:20:51 - INFO - XML file being interpreted is C:/projects/oboredo/OBO_XML_72/sessionsPapers\16840409.xml
root - 15-Dec-19 13:21:01 - INFO - XML file being interpreted is C:/projects/oboredo/OBO_XML_72/sessionsPapers\16840515.xml
root - 15-Dec-19 13:21:08 - INFO - XML file being interpreted is C:/projects/oboredo/OBO_XML_72/sessionsPapers\16840702.xml
root - 15-Dec-19 13:21:22 - INFO - XML file being interpreted is C:/projects/oboredo/OBO_XML_72/sessionsPapers\16840903.xml
root - 15-Dec-19 13:21:36 - INFO - XML file being interpreted is C:/projects/oboredo/OBO_XML_72/sessionsPapers\16841008.xml
root - 15-Dec-19 13:21:44 - INFO - XML file being interpreted is C:/projects/oboredo/OBO_XML_72/sessionsPapers\16841210.xml
root - 15-Dec-19 13:22:00 - INFO - XML file being interpreted is C:/projects/oboredo/OBO_XML_72/sessionsPapers\16850116.xml
root - 15-Dec-19 13:22:11 - INFO - XML file being interpreted is C:/projects/oboredo/OBO_XML_72/sessionsPapers\16850225.xml
root - 15-Dec-19 13:22:21 - INFO - XML file being interpreted is C:/projects/oboredo/OBO_XML_72/sessionsPapers\16850429.xml
root - 15-Dec-19 13:22:39 - INFO - XML file being interpreted is C:/projects/oboredo/OBO_XML_72/sessionsPapers\16850604.xml
root - 15-Dec-19 13:22:49 - INFO - XML file being interpreted is C:/projects/oboredo/OBO_XML_72/sessionsPapers\16850716.xml
root - 15-Dec-19 13:23:04 - INFO - XML file being interpreted is C:/projects/oboredo/OBO_XML_72/sessionsPapers\16850826.xml
root - 15-Dec-19 13:23:13 - INFO - XML file being interpreted is C:/projects/oboredo/OBO_XML_72/sessionsPapers\16851014.xml
root - 15-Dec-19 13:23:26 - INFO - XML file being interpreted is C:/projects/oboredo/OBO_XML_72/sessionsPapers\16851209.xml
root - 15-Dec-19 13:23:41 - INFO - XML file being interpreted is C:/projects/oboredo/OBO_XML_72/sessionsPapers\16860114.xml
root - 15-Dec-19 13:23:54 - INFO - XML file being interpreted is C:/projects/oboredo/OBO_XML_72/sessionsPapers\16860224.xml
root - 15-Dec-19 13:24:07 - INFO - XML file being interpreted is C:/projects/oboredo/OBO_XML_72/sessionsPapers\16860414.xml
root - 15-Dec-19 13:24:14 - INFO - XML file being interpreted is C:/projects/oboredo/OBO_XML_72/sessionsPapers\16860520.xml
root - 15-Dec-19 13:24:26 - INFO - XML file being interpreted is C:/projects/oboredo/OBO_XML_72/sessionsPapers\16860707.xml
root - 15-Dec-19 13:24:36 - INFO - XML file being interpreted is C:/projects/oboredo/OBO_XML_72/sessionsPapers\16860901.xml
root - 15-Dec-19 13:24:48 - INFO - XML file being interpreted is C:/projects/oboredo/OBO_XML_72/sessionsPapers\16861013.xml
root - 15-Dec-19 13:24:59 - INFO - XML file being interpreted is C:/projects/oboredo/OBO_XML_72/sessionsPapers\16861208.xml
root - 15-Dec-19 13:25:13 - INFO - XML file being interpreted is C:/projects/oboredo/OBO_XML_72/sessionsPapers\16870114.xml
root - 15-Dec-19 13:25:26 - INFO - XML file being interpreted is C:/projects/oboredo/OBO_XML_72/sessionsPapers\16870223.xml
root - 15-Dec-19 13:25:40 - INFO - XML file being interpreted is C:/projects/oboredo/OBO_XML_72/sessionsPapers\16870406.xml
root - 15-Dec-19 13:25:55 - INFO - XML file being interpreted is C:/projects/oboredo/OBO_XML_72/sessionsPapers\16870512.xml
root - 15-Dec-19 13:26:08 - INFO - XML file being interpreted is C:/projects/oboredo/OBO_XML_72/sessionsPapers\16870701.xml
root - 15-Dec-19 13:26:24 - INFO - XML file being interpreted is C:/projects/oboredo/OBO_XML_72/sessionsPapers\16870831.xml
root - 15-Dec-19 13:26:40 - INFO - XML file being interpreted is C:/projects/oboredo/OBO_XML_72/sessionsPapers\16871012.xml
root - 15-Dec-19 13:26:52 - INFO - XML file being interpreted is C:/projects/oboredo/OBO_XML_72/sessionsPapers\16871207.xml
root - 15-Dec-19 13:27:08 - INFO - XML file being interpreted is C:/projects/oboredo/OBO_XML_72/sessionsPapers\16880113.xml
root - 15-Dec-19 13:27:20 - INFO - XML file being interpreted is C:/projects/oboredo/OBO_XML_72/sessionsPapers\16880222.xml
root - 15-Dec-19 13:27:28 - INFO - XML file being interpreted is C:/projects/oboredo/OBO_XML_72/sessionsPapers\16880425.xml
root - 15-Dec-19 13:27:45 - INFO - XML file being interpreted is C:/projects/oboredo/OBO_XML_72/sessionsPapers\16880531.xml
root - 15-Dec-19 13:27:56 - INFO - XML file being interpreted is C:/projects/oboredo/OBO_XML_72/sessionsPapers\16880711.xml
root - 15-Dec-19 13:28:07 - INFO - XML file being interpreted is C:/projects/oboredo/OBO_XML_72/sessionsPapers\16880831.xml
root - 15-Dec-19 13:28:20 - INFO - XML file being interpreted is C:/projects/oboredo/OBO_XML_72/sessionsPapers\16881010.xml
