root - 30-Jun-22 20:33:38 - INFO - got into files with ./ordinarysAccounts\OA16911218.xml
root - 30-Jun-22 20:33:38 - INFO - got into files with ./ordinarysAccounts\OA16920302.xml
root - 30-Jun-22 20:33:38 - INFO - got into files with ./ordinarysAccounts\OA16920415.xml
root - 30-Jun-22 20:33:38 - INFO - got into files with ./ordinarysAccounts\OA16920520.xml
root - 30-Jun-22 20:33:38 - INFO - got into files with ./ordinarysAccounts\OA16920909.xml
root - 30-Jun-22 20:33:38 - INFO - got into files with ./ordinarysAccounts\OA16921026.xml
root - 30-Jun-22 20:33:38 - INFO - got into files with ./ordinarysAccounts\OA16921221.xml
root - 30-Jun-22 20:33:38 - INFO - got into files with ./ordinarysAccounts\OA16930127.xml
root - 30-Jun-22 20:33:38 - INFO - got into files with ./ordinarysAccounts\OA16930201.xml
root - 30-Jun-22 20:33:38 - INFO - got into files with ./ordinarysAccounts\OA16930308.xml
root - 30-Jun-22 20:33:38 - INFO - got into files with ./ordinarysAccounts\OA16930517.xml
root - 30-Jun-22 20:33:38 - INFO - got into files with ./ordinarysAccounts\OA16930616.xml
root - 30-Jun-22 20:33:38 - INFO - got into files with ./ordinarysAccounts\OA16930726.xml
root - 30-Jun-22 20:33:38 - INFO - got into files with ./ordinarysAccounts\OA16930920.xml
root - 30-Jun-22 20:33:38 - INFO - got into files with ./ordinarysAccounts\OA16931023.xml
root - 30-Jun-22 20:33:38 - INFO - got into files with ./ordinarysAccounts\OA16931220.xml
root - 30-Jun-22 20:33:38 - INFO - got into files with ./ordinarysAccounts\OA16940124.xml
root - 30-Jun-22 20:33:38 - INFO - got into files with ./ordinarysAccounts\OA16940228.xml
root - 30-Jun-22 20:33:38 - INFO - got into files with ./ordinarysAccounts\OA16950417.xml
root - 30-Jun-22 20:33:38 - INFO - got into files with ./ordinarysAccounts\OA16950524.xml
root - 30-Jun-22 20:33:38 - INFO - got into files with ./ordinarysAccounts\OA16950712.xml
root - 30-Jun-22 20:33:38 - INFO - got into files with ./ordinarysAccounts\OA16950918.xml
root - 30-Jun-22 20:33:38 - INFO - got into files with ./ordinarysAccounts\OA16951213.xml
root - 30-Jun-22 20:33:38 - INFO - got into files with ./ordinarysAccounts\OA16960129.xml
root - 30-Jun-22 20:33:38 - INFO - got into files with ./ordinarysAccounts\OA16970423.xml
root - 30-Jun-22 20:33:38 - INFO - got into files with ./ordinarysAccounts\OA16970528.xml
root - 30-Jun-22 20:33:38 - INFO - got into files with ./ordinarysAccounts\OA16970716.xml
root - 30-Jun-22 20:33:38 - INFO - got into files with ./ordinarysAccounts\OA16970915.xml
root - 30-Jun-22 20:33:38 - INFO - got into files with ./ordinarysAccounts\OA16971103.xml
root - 30-Jun-22 20:33:38 - INFO - got into files with ./ordinarysAccounts\OA16971222.xml
root - 30-Jun-22 20:33:38 - INFO - got into files with ./ordinarysAccounts\OA16980126.xml
root - 30-Jun-22 20:33:38 - INFO - got into files with ./ordinarysAccounts\OA16980309.xml
root - 30-Jun-22 20:33:38 - INFO - got into files with ./ordinarysAccounts\OA16980622.xml
root - 30-Jun-22 20:33:38 - INFO - got into files with ./ordinarysAccounts\OA16980803.xml
root - 30-Jun-22 20:33:38 - INFO - got into files with ./ordinarysAccounts\OA16990802.xml
root - 30-Jun-22 20:33:38 - INFO - got into files with ./ordinarysAccounts\OA17000301.xml
root - 30-Jun-22 20:33:38 - INFO - got into files with ./ordinarysAccounts\OA17000419.xml
root - 30-Jun-22 20:33:38 - INFO - got into files with ./ordinarysAccounts\OA17000524.xml
root - 30-Jun-22 20:33:38 - INFO - got into files with ./ordinarysAccounts\OA17000719.xml
root - 30-Jun-22 20:33:38 - INFO - got into files with ./ordinarysAccounts\OA17000720.xml
root - 30-Jun-22 20:33:38 - INFO - got into files with ./ordinarysAccounts\OA17000906.xml
root - 30-Jun-22 20:33:38 - INFO - got into files with ./ordinarysAccounts\OA17001106.xml
root - 30-Jun-22 20:33:38 - INFO - got into files with ./ordinarysAccounts\OA17001220.xml
root - 30-Jun-22 20:33:38 - INFO - got into files with ./ordinarysAccounts\OA17010129.xml
root - 30-Jun-22 20:33:38 - INFO - got into files with ./ordinarysAccounts\OA17010319.xml
root - 30-Jun-22 20:33:38 - INFO - got into files with ./ordinarysAccounts\OA17010516.xml
root - 30-Jun-22 20:33:38 - INFO - got into files with ./ordinarysAccounts\OA17020128.xml
root - 30-Jun-22 20:33:38 - INFO - got into files with ./ordinarysAccounts\OA17020529.xml
root - 30-Jun-22 20:33:38 - INFO - got into files with ./ordinarysAccounts\OA17021230.xml
root - 30-Jun-22 20:33:38 - INFO - got into files with ./ordinarysAccounts\OA17030310.xml
root - 30-Jun-22 20:33:38 - INFO - got into files with ./ordinarysAccounts\OA17030721.xml
root - 30-Jun-22 20:33:38 - INFO - got into files with ./ordinarysAccounts\OA17030811.xml
root - 30-Jun-22 20:33:38 - INFO - got into files with ./ordinarysAccounts\OA17031103.xml
root - 30-Jun-22 20:33:38 - INFO - got into files with ./ordinarysAccounts\OA17040322.xml
root - 30-Jun-22 20:33:38 - INFO - got into files with ./ordinarysAccounts\OA17040510.xml
root - 30-Jun-22 20:33:38 - INFO - got into files with ./ordinarysAccounts\OA17040621.xml
root - 30-Jun-22 20:33:38 - INFO - got into files with ./ordinarysAccounts\OA17040922.xml
root - 30-Jun-22 20:33:38 - INFO - got into files with ./ordinarysAccounts\OA17041025.xml
root - 30-Jun-22 20:33:38 - INFO - got into files with ./ordinarysAccounts\OA17041220.xml
